출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P006,료미,P065,나봉상점 경주점,15,1158
P006,료미,P066,연화,21,1536
P006,료미,P067,yesterday,30,1900
P006,료미,P068,진수성찬,12,965
P006,료미,P069,베이글베이글러,9,671
P006,료미,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),14,1066
P006,료미,P071,경주 교촌마을,12,951
P006,료미,P072,경주 황리단길,3,243
P006,료미,P073,경주 계림,17,1268
P006,료미,P074,월정교,16,1268
P006,료미,P075,경주읍성,21,1594
P006,료미,P076,경주 첨성대,13,1005
P007,백년손님,P008,백조식당,3,249
P007,백년손님,P009,줄리스,6,429
P007,백년손님,P010,포롱아밀 황남점,3,237
P007,백년손님,P011,화양연화,1,96
P007,백년손님,P012,료코,1,65
P007,백년손님,P013,황남두꺼비식당 황남본점,3,234
P007,백년손님,P014,피자옥,4,274
P007,백년손님,P015,범외양간 황리단길본점,6,486
P007,백년손님,P016,경주황소곱창 황리단길본점,5,391
P007,백년손님,P017,메종드문,3,198
P007,백년손님,P018,풍미갈비찜,2,145
P007,백년손님,P019,황남갈비,1,101
P007,백년손님,P020,타베르나,2,163
P007,백년손님,P021,소나무 황리단길본점,4,337
P007,백년손님,P022,오칼국수,3,240
P007,백년손님,P023,황남거북이,3,254
P007,백년손님,P024,그때그소간지,1,88
P007,백년손님,P025,짚불함박,7,563
P007,백년손님,P026,향밀,4,348
P007,백년손님,P027,체크인치즈 황리단길점,2,145
P007,백년손님,P028,황남역,9,672
P007,백년손님,P029,황남양옥,5,336
P007,백년손님,P030,대릉소반,5,344
P007,백년손님,P031,미포기사식당,7,523
P007,백년손님,P032,황리화덕가,6,455
P007,백년손님,P033,향택 경주,6,494
P007,백년손님,P034,무궁무진,5,356
P007,백년손님,P035,노키,7,501
P007,백년손님,P036,마카다,7,527
P007,백년손님,P037,황리단 치킨,7,515
P007,백년손님,P038,담요 따뜻한 손길,8,592
P007,백년손님,P039,스컹크웍스,4,284
P007,백년손님,P040,굿즈,1,95
P007,백년손님,P041,샬로우커피 황리단길점,5,426
P007,백년손님,P042,데어벤치,0,22
P007,백년손님,P043,스위피,2,146
P007,백년손님,P044,아르떼,1,46
P007,백년손님,P045,키도트,9,674
P007,백년손님,P046,후프후프,9,733
P007,백년손님,P047,올리브,7,526
P007,백년손님,P048,양지다방,6,485
P007,백년손님,P049,미실카페,8,589
P007,백년손님,P050,햇오프커피,7,563
P007,백년손님,P051,비화커피,7,516
P007,백년손님,P052,오버랩,15,1028
